GeoName,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,
North Carolina,35626,35958,35920,36084,36670,36830,36956,37114,38610,39049,39020,39695,38307,38299,38357,38599,39501,40046,40566,41003,41635,41931,42252,42407,42684,42710,42941,43405,43977,44334,44629,45142,45538,46048,46429,47057,47848,48124,48302,48745,49334,53177,50855,50549,57727,53492,54141,54772,
North Dakota,42718,43794,44647,45783,47375,48107,49422,50832,54285,55933,56511,58781,54289,55030,55424,55029,56392,57858,57745,57997,55499,54055,53511,53471,51944,51789,52207,52059,52087,52601,52277,52740,54260,54984,55697,57065,56997,56383,57693,57775,58618,63555,59010,60772,67149,65835,65279,63855,
Ohio,36065,36636,37184,37510,38671,38969,39511,39814,40142,40685,40553,41583,40893,41245,41351,41529,42022,42569,43113,43600,43920,44330,44575,44915,44870,45065,45229,45645,46203,46473,46858,47301,47730,48163,48703,49130,49486,49627,49862,50254,50865,55800,53369,52707,59916,55293,55106,55572,
Oklahoma,35896,37024,37823,38368,38797,39580,40221,40569,41654,42080,41860,43272,43415,43989,44211,44478,45816,46531,47012,47019,45467,44901,44878,44384,42591,42440,42468,42629,43512,44262,44697,45251,45791,46111,46673,47253,48507,48196,48511,48816,48648,53093,49248,49374,55829,52001,51918,52833,
Oregon,35838,35866,36100,36278,37365,37483,37546,38007,39007,39294,39203,39964,39319,39673,39924,40122,40981,41840,42528,43080,44128,44446,45005,45042,45784,45850,46006,46443,47091,47832,48182,48894,49661,50201,50962,51313,51887,52144,52530,53283,54005,58309,56400,56603,63187,59166,60040,60267,
Pennsylvania,41243,42066,42646,43012,43666,44092,44498,44586,45305,45660,45723,46717,45753,46237,46289,46541,47158,47796,48369,48918,49418,49703,50090,50461,50655,50920,51471,51629,51710,52076,52771,53387,54245,54781,55635,56096,56447,56650,56703,57118,57568,63637,61817,59804,66698,63056,63313,63090,
Rhode Island,41808,42733,43117,43417,43529,44328,44411,44487,45328,45518,45341,46191,45239,45278,45499,45741,46468,46849,47325,48126,48236,48648,48767,49038,48661,48995,49545,49561,49888,50581,51618,51674,52115,52371,52546,53238,54385,54732,54624,55137,55655,61790,59428,57668,64278,61238,61185,61020,
South Carolina,32319,32795,33060,33239,34146,34483,34597,34634,35684,35912,35768,36554,35846,36012,36351,36533,37236,38010,38436,38851,39440,39858,40298,40594,40717,40978,41287,41713,42357,42704,42915,43264,43716,44078,44511,44963,45868,45948,46221,46626,47037,51486,48505,48254,55145,50765,50832,51513,
South Dakota,40470,41141,42003,42070,44354,44407,44729,45449,45751,45883,43730,46408,45792,45817,45628,45232,46602,47632,47676,48058,48604,48884,49290,49818,48974,48968,49422,49344,50197,50377,50345,50582,51784,51904,52275,54304,54629,54218,55383,55832,57229,61718,58078,61378,66803,64413,64239,63395,
Tennessee,35160,35730,36111,36367,37244,37578,37915,38121,38836,39322,39253,40091,39367,39372,39427,39610,40184,40635,40895,41256,41932,42412,42740,43012,43147,43187,43616,43994,44460,44733,44996,45656,46300,46679,47362,47698,48533,48667,48816,49046,49423,52674,50676,50368,57619,53336,53834,54661,
